PageName,StudyGroup,EntryDate,UserName,Comment,bigrams,most_probable_topic,topic_terms,topic_probability
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:45:52pm EDT,LiDragon,"Watching the video in three different steps helped me break down the teacher skills that are required to facilitate productive science talk:  knowing what productive talk looks like\, supporting science practices\, and hearing and reflecting on students&#039; explanations at different levels of understanding.  <br /><br /><br /><br />Focusing in on productive talk and the teacher moves that supported it was the most illuminating for me right now.  I noticed both in the science learning in our own group and in this classroom that the teacher/facilitators didn&#039;t engage with or &quot;deliver&quot; content much at all.  Instead\, they structured phenomena\, questions\, and learning activities (modeling\, small group and large group discussion) and used talk moves to help students (in the video and in our class) move our thinking forward.<br /><br /><br /><br />","['watching_video', 'three_different', 'steps_helped', 'break', 'teacher', 'skills', 'required', 'facilitate', 'productive', 'science', 'talk', 'knowing', 'productive_talk', 'looks_like', 'supporting', 'science_practices', 'hearing', 'reflecting', 'students', 'explanations', 'different', 'levels', 'understanding', 'focusing_productive', 'talk', 'teacher', 'moves', 'supported', 'illuminating', 'right', 'noticed', 'science', 'learning', 'group', 'classroom', 'teacher/facilitators', 'engage', 'deliver', 'content', 'much', 'instead', 'structured', 'phenomena', 'questions', 'learning', 'activities', 'modeling', 'small', 'group', 'large', 'group_discussion', 'used', 'talk_moves', 'help', 'students', 'video', 'class', 'move', 'thinking', 'forward']",4,"['students', 'student', 'teacher', 'see', 'productive_talk', 'think', 'actually', 'discussion', 'looking', 'three_different']",0.98624187707901
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:46:43pm EDT,ScCarlson,"We&#039;ve now looked at this video from three different angles:<br /><br /><br /><br />Focusing on productive talk in general<br /><br />Focusing on evidence of scientific practices<br /><br />Focusing in on one student&#039;s turn<br /><br />How did the three different steps help you see more\, in different ways?<br /><br /><br /><br />Which step was the most illuminating for you?  Why?<br /><br /><br /><br />These three steps helped me see more because originally\, I skipped over Mathais&#039; quote when looking for evidence of good discussion and practices\, when he in fact had a clear claim and was using evidence\, even though he was struggling to verbalize his ideas. Looking for scientific practices made me see that MANY practices tie together and can be embedded in a discussion. When at first glance\, you may think a discussion is just explaining\, at closer examination I found that there was also other practices like evaluating data\, designing an investigation\, evaluating and communicating information\, and argumentation. <br /><br /><br /><br />The most illuminating part for me was definitely looking at Mathais&#039; quote. At close examination\, it was revealed to me that he did in fact have a great claim that he supported with evidence answering the original question. This shows me that the students who struggle to communicate may still have great ideas and understand the content thoroughly\, and may be engaging just as well if not better in the practices that others. This reminds me how important it is to not judge your students\, not assume things\, and hold high expectations. ","['looked_video', 'three_different', 'angles', 'focusing_productive', 'talk_general', 'focusing_evidence', 'scientific_practices', 'focusing_one', 'student_turn', 'three_different', 'steps_help', 'see', 'different_ways', 'step_illuminating', 'three_steps', 'helped_see', 'originally', 'skipped', 'mathais', 'quote', 'looking', 'evidence', 'good', 'discussion', 'practices', 'fact', 'clear', 'claim_using', 'evidence', 'even_though', 'struggling', 'verbalize', 'ideas', 'looking', 'scientific_practices', 'made', 'see', 'many', 'practices', 'tie', 'together', 'embedded', 'discussion', 'first_glance', 'may', 'think', 'discussion', 'explaining', 'closer', 'examination', 'found', 'also', 'practices', 'like', 'evaluating', 'data', 'designing', 'investigation', 'evaluating', 'communicating', 'information', 'argumentation', 'illuminating', 'part', 'definitely', 'looking', 'mathais', 'quote', 'close', 'examination', 'revealed', 'fact', 'great', 'claim', 'supported', 'evidence', 'answering', 'original', 'question', 'shows', 'students_struggle', 'communicate', 'may', 'still', 'great', 'ideas', 'understand', 'content', 'thoroughly', 'may', 'engaging', 'well', 'better', 'practices', 'others', 'reminds', 'important', 'judge', 'students', 'assume', 'things', 'hold', 'high', 'expectations']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.702847421169281
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:47:11pm EDT,MoPerry,The three different steps helped me to understand if Mathais understood the phenomena. By looking at the principles it help me to see if he had a clear understanding what had happened. The step that was the most illuminating was when we slowed down and really looked at what he was trying to say. ,"['three_different', 'steps_helped', 'understand', 'mathais_understood', 'phenomena', 'looking', 'principles', 'help_see', 'clear', 'understanding', 'happened', 'step_illuminating', 'slowed', 'really', 'looked', 'trying_say']",1,"['students', 'productive_talk', 'student', 'think', 'scientific_practices', 'mathias', 'understand', 'really', 'looking', 'see']",0.9506391882896423
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 15:51:16pm EDT,ReSweeney,"Focusing and isolating different aspects of the video was incredibly helpful to see how students &quot;learn&quot; science.  The productive talk focus made me look at how the social interactions can play a part in learning\, and how important norms are.  When we looked at the video through the practices lens\, it made me look for examples of content understanding. Finally when we focused on Mathais&#039; turn\, we watched how he is practicing science by sorting ideas/concepts in his mind\, and articulating those ideas (learning). <br /><br />The most illuminating step for me was watching Mathais put it all together\, even though it was difficult to see exactly where he was going.  Interpretations of how students display their knowledge and understanding is something I need to embrace. ","['focusing', 'isolating', 'different_aspects', 'video', 'incredibly', 'helpful', 'see', 'students', 'learn', 'science', 'productive_talk', 'focus', 'made_look', 'social', 'interactions', 'play', 'part', 'learning', 'important', 'norms', 'looked_video', 'practices', 'lens', 'made_look', 'examples', 'content', 'understanding', 'finally', 'focused', 'mathais', 'turn', 'watched', 'practicing', 'science', 'sorting', 'ideas/concepts', 'mind', 'articulating', 'ideas', 'learning', 'illuminating_step', 'watching', 'mathais', 'put', 'together', 'even_though', 'difficult', 'see', 'exactly', 'going', 'interpretations', 'students', 'display', 'knowledge', 'understanding', 'something', 'need', 'embrace']",3,"['see', 'student', 'discussion', 'students', 'step_illuminating', 'focusing_one', 'thinking', 'productive_talk', 'mathais', 'student_turn']",0.6354398131370544
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20129 VT VINS Cohort 2,2019-08-14 21:53:09pm EDT,DeRoebuck,"Focusing on productive talk in general<br /><br />Focusing on evidence of scientific practices<br /><br />Focusing in on one student&#039;s turn<br /><br />How did the three different steps help you see more\, in different ways?<br /><br /><br /><br />Which step was the most illuminating for you?  Why?<br /><br /><br /><br />I actually liked viewing the video through 3 different lenses.  I think that helped us to tease out what pieces we were actually looking for for different reasons\, just as when you&#039;re leading an activity like this\, you might be only looking for student understanding one time\, or another time\, maybe you are just practicing reinforcing the norms and holding discussions in general. <br /><br /><br /><br />The step that was most illuminating for me was watching how the teacher was facilitating the discussion and getting the students to respond to each other. I always like seeing how other teachers model this process\, because I feel like I always struggle with it\, and every class has a different dynamic and personalities and the discussions all come out different.  ","['focusing_productive', 'talk_general', 'focusing_evidence', 'scientific_practices', 'focusing_one', 'student_turn', 'three_different', 'steps_help', 'see', 'different_ways', 'step_illuminating', 'actually', 'liked', 'viewing_video', '3_different', 'lenses', 'think', 'helped', 'us', 'tease', 'pieces', 'actually', 'looking', 'different', 'reasons', 'leading', 'activity', 'like', 'might', 'looking', 'student', 'understanding', 'one', 'time', 'another', 'time', 'maybe', 'practicing', 'reinforcing', 'norms', 'holding', 'discussions', 'general', 'step_illuminating', 'watching', 'teacher', 'facilitating_discussion', 'getting', 'students', 'respond', 'always', 'like', 'seeing', 'teachers', 'model', 'process', 'feel_like', 'always', 'struggle', 'every', 'class', 'different', 'dynamic', 'personalities', 'discussions', 'come', 'different']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.9876318573951721
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:20:12am EDT,AlTadduni,"The three different steps helped me look into the discussion at a deeper level. I think the most illuminating step was the third step where we really focused on what one student was saying. I made me realize that\, although &quot;first draft talk&quot; may not always come out perfect\, students may be saying something purposeful and/or useful to the conversation. ","['three_different', 'steps_helped', 'look', 'discussion', 'deeper', 'level', 'think', 'illuminating_step', 'third_step', 'really', 'focused', 'one_student', 'saying', 'made', 'realize', 'although', 'first_draft', 'talk', 'may', 'always', 'come', 'perfect', 'students', 'may', 'saying', 'something', 'purposeful', 'and/or', 'useful', 'conversation']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.7752570509910583
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:20:40am EDT,SaVarma,I found focusing in on one student&#039;s turn to be most helpful because it provides a great window into the learning going on in the classroom and specifically for that student!,"['found', 'focusing_one', 'student_turn', 'helpful', 'provides', 'great', 'window', 'learning', 'going', 'classroom', 'specifically', 'student']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.9350905418395996
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:17am EDT,JaLizotte,"Analyzing and editing one student&#039;s response closely\, helped me to see and understand that the student does explain his reasoning of volume vs. weight and he does explain it clearly.","['analyzing', 'editing', 'one_student', 'response', 'closely', 'helped_see', 'understand', 'student', 'explain', 'reasoning', 'volume', 'vs.', 'weight', 'explain', 'clearly']",5,"['students', 'student', 'really', 'discussion', 'volume', 'important', 'weight', 'different', 'classroom', 'may']",0.9475815892219543
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:22am EDT,LaCorcoran,"I think each look had its own value. If I were still in the phase of the year where I was teaching my students how to engage in productive talk\, then I think the first lens would be the most helpful. However\, if I knew my kids were pretty good with productive talk already\, I think taking a look at which practices the kids were using would be more important and if I were concerned with their understanding\, thinking about each kid individually would be the most illuminating. ","['think', 'look', 'value', 'still', 'phase', 'year', 'teaching', 'students', 'engage', 'productive_talk', 'think', 'first', 'lens', 'would', 'helpful', 'however', 'knew', 'kids', 'pretty', 'good', 'productive_talk', 'already', 'think', 'taking', 'look', 'practices', 'kids', 'using', 'would', 'important', 'concerned', 'understanding', 'thinking', 'kid', 'individually', 'would', 'illuminating']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.9779214262962341
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:30am EDT,LaAcevedo,Focusing in on one students turn was beneficial because it helps you understand the childs learning. ,"['focusing_one', 'students', 'turn', 'beneficial', 'helps_understand', 'childs', 'learning']",4,"['students', 'student', 'teacher', 'see', 'productive_talk', 'think', 'actually', 'discussion', 'looking', 'three_different']",0.8949452638626099
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:37am EDT,DaGorski,Conversation brings out an overlapping of science and engineering practices.,"['conversation', 'brings', 'overlapping', 'science_engineering', 'practices']",4,"['students', 'student', 'teacher', 'see', 'productive_talk', 'think', 'actually', 'discussion', 'looking', 'three_different']",0.8603186011314392
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:40am EDT,StBuffone,Seeing each step helped me focus in on different aspects of each angle.  Focusing in one on students turn was the most illuminating because we were able to look closely at one students idea.  ,"['seeing', 'step', 'helped', 'focus', 'different_aspects', 'angle', 'focusing_one', 'students', 'turn', 'illuminating', 'able', 'look', 'closely', 'one', 'students', 'idea']",2,"['students', 'see', 'teacher', 'understanding', 'student', 'discussion', 'able', 'really', 'productive_talk', 'talk']",0.9505709409713745
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:47am EDT,JaMoore,There is not much time to analyze a verbal student response because we are &#039;in the moment&#039; and the discussion keeps going.   Following this process was helpful to ,"['much', 'time', 'analyze', 'verbal', 'student', 'response', 'moment', 'discussion', 'keeps', 'going', 'following', 'process', 'helpful']",5,"['students', 'student', 'really', 'discussion', 'volume', 'important', 'weight', 'different', 'classroom', 'may']",0.9399515390396118
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:56am EDT,DeONeill,"The students turn was most illuminating because he was given the respect to get his thought out\, however difficult it might have been for him.","['students', 'turn', 'illuminating', 'given', 'respect', 'get', 'thought', 'however', 'difficult', 'might']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.923637330532074
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:21:58am EDT,ShGrandfield,The three steps helped slow down time and concentrate on depth of knowledge providing discussion and a transcript.  Revoicing the students idea was the most illuminating. ,"['three_steps', 'helped', 'slow', 'time', 'concentrate', 'depth', 'knowledge', 'providing', 'discussion', 'transcript', 'revoicing', 'students', 'idea', 'illuminating']",0,"['students', 'student', 'time', 'see', 'focusing_one', 'teacher', 'different', 'understanding', 'student_turn', 'talk']",0.94393390417099
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:22:02am EDT,SePasmeg,It is necessary to slow down my brain as a teacher to listen carefully to what students are saying without being distracted by other students in the room.  There may be information that is pertinent to learning that I could miss if I am not living in the moment and listening closely.  Teacher brains are often multitasking and miss important learning opportunities.,"['necessary', 'slow', 'brain', 'teacher', 'listen', 'carefully', 'students', 'saying', 'without', 'distracted', 'students', 'room', 'may', 'information', 'pertinent', 'learning', 'could', 'miss', 'living', 'moment', 'listening', 'closely', 'teacher', 'brains', 'often', 'multitasking', 'miss', 'important', 'learning', 'opportunities']",4,"['students', 'student', 'teacher', 'see', 'productive_talk', 'think', 'actually', 'discussion', 'looking', 'three_different']",0.9728636741638184
Step 6: Analyzing a Fourth Grade Science Discussion: Student Thinking,20281 CT Stratford Cohort 3,2019-03-28 11:22:04am EDT,LiTryon,It&#039;s always valuable to see a video more than once so that you can focus on the student role vs the teacher role in  a conversation.  I found the smooth way the teacher redirected the students a technique I&#039;d like to get better at. ,"['always', 'valuable', 'see', 'video', 'focus', 'student', 'role', 'vs', 'teacher', 'role', 'conversation', 'found', 'smooth', 'way', 'teacher', 'redirected', 'students', 'technique', 'like', 'get_better']",4,"['students', 'student', 'teacher', 'see', 'productive_talk', 'think', 'actually', 'discussion', 'looking', 'three_different']",0.9600225687026978
